run_id,condition,is_injected_failure,should_pass,model_validation,evidence_complete,ai_discovery_present,evaluation_result,evaluation_internal_consistent,approval,trace_consistent,run_available,evidence_pack_present,events_content_sha256_match,export_digest_match,artifact_bound_verification,policy_version_match,approval_is_stale,causal_evaluation_before_approval,run_id_matches_decision_scope,baseline_verdict,pipeline_baseline_verdict,gate_verdict,expected_gate_verdict,gate_matches_rubric
cfi-0001,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0002,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0003,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0004,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0005,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0006,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0007,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0008,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0009,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0010,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0011,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0012,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0013,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0014,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0015,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0016,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0017,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0018,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
cfi-0019,valid_complete_trace,False,True,passed,True,True,pass,True,granted,True,True,True,True,True,True,True,False,True,True,VALID,VALID,VALID,VALID,True
